station,stationLabel,stationID,transportNetworkLabel,address,linjerLabel,connectingLineLabel,årstal,geoLatitude,geoLongitude
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje A,Boulevardbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje C,Boulevardbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje E,Boulevardbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Øresundstogtrafikken,Boulevardbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,InterCity,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje H,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje B,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje Bx,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje A,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje C,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje E,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Øresundstogtrafikken,Nordbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,InterCity,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje H,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje B,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje Bx,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje A,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje C,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Linje E,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
http://www.wikidata.org/entity/Q635929,Østerport Station,8600650,S-tog,,Øresundstogtrafikken,Kystbanen,1897-08-02T00:00:00Z,55.692222,12.5875
"http://www.wikidata.org/entity/Q673732,Tommerup Station,8600509,,""Stationsvej 17, 5690 Tommerup"",Regionaltog,Den fynske hovedbane,1876-07-12T00:00:00Z,55.34965,10.1825"
"http://www.wikidata.org/entity/Q673732,Tommerup Station,8600509,,""Stationsvej 17, 5690 Tommerup"",Regionaltog,Assensbanen,1876-07-12T00:00:00Z,55.34965,10.1825"
http://www.wikidata.org/entity/Q686519,Nordhavn Station,8600653,S-tog,,Linje B,Nordbanen,1934-01-01T00:00:00Z,55.705278,12.590833
http://www.wikidata.org/entity/Q686519,Nordhavn Station,8600653,S-tog,,Linje Bx,Nordbanen,1934-01-01T00:00:00Z,55.705278,12.590833
http://www.wikidata.org/entity/Q686519,Nordhavn Station,8600653,S-tog,,Linje A,Nordbanen,1934-01-01T00:00:00Z,55.705278,12.590833
http://www.wikidata.org/entity/Q686519,Nordhavn Station,8600653,S-tog,,Linje C,Nordbanen,1934-01-01T00:00:00Z,55.705278,12.590833
http://www.wikidata.org/entity/Q686519,Nordhavn Station,8600653,S-tog,,Linje E,Nordbanen,1934-01-01T00:00:00Z,55.705278,12.590833
"http://www.wikidata.org/entity/Q801030,Korsør Station,8600601,,""Storebæltsvej 2, 4220 Korsør"",InterCity,Vestbanen,1997-01-01T00:00:00Z,55.3571,11.1349"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",InterCity,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje H,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje B,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje Bx,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje A,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje C,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Linje E,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Øresundstogtrafikken,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
"http://www.wikidata.org/entity/Q801282,Nørreport Station,8600646,S-tog,""Nørre Voldgade 13, 1358 København K"",Regionaltog,Boulevardbanen,1918-07-01T00:00:00Z,55.683333,12.571667"
